LungeI,timeoflunge,depth,PosFluSt,PosMaxSpd,PosBegDecel,PosEndDecel,PosMinSpd,PosDownStr,PosMaxGape,PosGyroFin,LengthAcc,LengthAdj,LengthDecel,LengthGyro,SpdFluSt,MaxSpd,SpdBegDecel,SpdEndDecel,MinSpd,lungecat
747875,12:58:46,100.1878236,747830,747877,747886,747897,747914,747879,747889,747899,4.7,0.9,1.1,2,3.938287168,5.241489544,5.076067163,2.619390211,2.097583209,103
654474,10:23:06,110.9591658,654379,654472,654485,654496,654516,654478,654488,654496,9.3,1.3,1.1,1.8,2.979225911,5.517833892,4.640216223,2.221684778,2.048335527,103
738561,12:43:15,108.342011,738518,738561,738564,738576,738630,738562,738568,738578,4.3,0.3,1.2,1.6,2.173966208,6.27255867,6.215045175,2.86021397,1.690278539,103
607743,9:05:13,46.46283311,607663,607750,607750,607764,607783,607749,607755,607765,8.7,0,1.4,1.6,2.038408522,4.937988465,4.937988465,2.491551756,2.040607122,103
741926,12:48:51,107.7798441,741871,741924,741928,741940,741983,741926,741932,741941,5.3,0.4,1.2,1.5,2.060730935,5.859614138,5.76074822,2.551513916,1.927684747,103
761444,13:21:23,123.908077,761337,761447,761447,761460,761512,761441,761451,761461,11,0,1.3,2,2.473330146,6.143392799,6.143392799,3.030760222,1.970375966,103
581986,8:22:17,38.68105741,581940,581987,581987,582007,582014,581988,581995,582006,4.7,0,2,1.8,2.469716469,4.174654422,4.174654422,2.250925703,1.909813898,103
652182,10:19:17,68.31669324,652063,652177,652185,652196,652229,652182,652190,652196,11.4,0.8,1.1,1.4,2.457106636,5.404260983,5.093710161,2.459163574,1.864627407,103
699886,11:38:47,129.0015519,699818,699880,699897,699910,699950,699896,699904,699910,6.2,1.7,1.3,1.4,1.741145839,5.954437354,5.564567915,2.559497008,1.989038816,103
646981,10:10:37,91.51050955,646939,646978,646984,646997,647043,646982,646989,646998,3.9,0.6,1.3,1.6,2.828572418,5.960845436,5.429069835,2.6116994,2.005722341,103
52979,17:40:35,82.71397615,52923,52980,52980,52994,53025,52976,52982,52992,5.7,0,1.4,1.6,2.066473652,5.263133032,5.263133032,2.63220753,2.022104883,103
641715,10:01:50,70.71251276,641657,641704,641721,641732,641747,641716,641725,641732,4.7,1.7,1.1,1.6,2.524694141,5.515519078,5.315428976,2.787892928,2.128518078,103
662225,10:36:01,112.7963373,662062,662227,662233,662248,662248,662230,662240,662247,16.5,0.6,1.5,1.7,2.637637138,4.531055649,4.253252057,1.880857993,1.880857993,103
173375,21:01:15,28.46952207,173329,173375,173375,173387,173425,173373,173378,173385,4.6,0,1.2,1.2,2.474585728,5.654159052,5.654159052,2.758742333,2.405631377,103
664742,10:40:13,94.48666433,664678,664738,664745,664758,664788,664742,664752,664758,6,0.7,1.3,1.6,3.334711766,5.675015224,5.327755275,2.531725311,2.158227643,103
182683,21:16:46,29.76252435,182643,182683,182687,182698,182726,182685,182691,182697,4,0.4,1.1,1.2,2.4431715,5.693964028,5.633584919,3.326289502,1.825124921,103
87262,18:37:44,81.35416716,87181,87259,87269,87285,87304,87264,87271,87278,7.8,1,1.6,1.4,2.513934354,5.218610016,5.194075712,2.224528823,1.968267118,103
170450,20:56:23,48.78021185,170398,170453,170453,170465,170476,170449,170457,170461,5.5,0,1.2,1.2,2.739501907,5.009942158,5.009942158,2.318616465,1.938639397,103
44578,17:26:35,85.24230221,44501,44580,44580,44594,44636,44577,44585,44590,7.9,0,1.4,1.3,2.222940339,5.606980074,5.606980074,2.619247562,2.110986616,103
769258,13:34:24,115.0289275,769191,769257,769264,769282,769334,769261,769271,769279,6.6,0.7,1.8,1.8,2.740939862,6.069680941,5.998453664,2.920829648,2.047341341,103
769453,13:34:44,111.8152973,769386,769449,769463,769470,769503,769454,769464,769471,6.3,1.4,0.7,1.7,1.999257191,5.480446338,5.013330114,2.66225522,1.936833357,103
607608,9:04:59,74.56559812,607532,607603,607616,607627,607659,607606,607619,607629,7.1,1.3,1.1,2.3,2.021095679,5.769527326,5.306198938,2.367018147,1.909028466,103
672205,10:52:39,83.1330643,672132,672201,672216,672227,672249,672212,672221,672229,6.9,1.5,1.1,1.7,2.933999758,5.765583717,4.631636913,2.681191713,2.17210765,103
82895,18:30:27,81.17509561,82833,82894,82897,82909,82938,82889,82898,82907,6.1,0.3,1.2,1.8,2.461480035,5.298782242,5.120013511,2.485813828,2.29277587,103
197165,21:40:54,26.68276832,197119,197164,197165,197182,197199,197167,197174,197180,4.5,0.1,1.7,1.3,2.598302085,5.843374129,5.816619911,2.623188093,2.063860401,103
699311,11:37:50,112.828479,699241,699310,699310,699329,699335,699315,699322,699330,6.9,0,1.9,1.5,3.5238264,5.332735936,5.332735936,2.316228377,2.121098998,103
86901,18:37:07,82.00348151,86835,86904,86904,86915,86944,86898,86906,86913,6.9,0,1.1,1.5,2.334958299,5.839729237,5.839729237,2.583811144,2.109331505,103
651951,10:18:54,65.88096645,651855,651949,651955,651966,651988,651952,651959,651967,9.4,0.6,1.1,1.5,1.788516622,5.40493895,5.262890743,2.835409827,2.067676192,103
53093,17:40:47,54.91119194,53046,53095,53095,53105,53142,53091,53097,53105,4.9,0,1,1.4,2.084086615,5.410118537,5.410118537,2.642705595,1.935845967,103
197740,21:41:52,36.5892365,197698,197744,197744,197758,197758,197741,197749,197757,4.6,0,1.4,1.6,2.445433943,5.433717665,5.433717665,2.235093689,2.235093689,103
773278,13:41:06,107.4846761,773163,773284,773284,773297,773329,773272,773285,773295,12.1,0,1.3,2.3,2.292390367,6.075531642,6.075531642,2.736274535,1.870430716,103
641555,10:01:34,71.00229467,641441,641560,641560,641574,641607,641556,641565,641574,11.9,0,1.4,1.8,2.427964503,5.630497261,5.630497261,2.442737947,1.936257906,103
680180,11:05:57,107.0212491,680109,680180,680186,680198,680204,680183,680190,680197,7.1,0.6,1.2,1.4,2.398876414,5.413040967,5.315434299,2.312451516,2.151358105,103
737839,12:42:02,109.9582484,737779,737836,737843,737857,737879,737840,737847,737853,5.7,0.7,1.4,1.3,2.533294413,5.678995007,5.627480442,2.682251169,2.075313827,103
616559,9:19:54,72.54070396,616485,616552,616570,616582,616641,616567,616574,616582,6.7,1.8,1.2,1.5,2.959221491,5.488136277,5.049130916,2.235178625,1.953112817,103
617107,9:20:49,75.40810916,617018,617105,617114,617123,617148,617105,617116,617125,8.7,0.9,0.9,2,2.27607246,5.320347373,4.886905563,2.508106393,1.762101723,103
752484,13:06:27,116.8980544,752377,752483,752494,752500,752504,752485,752492,752498,10.6,1.1,0.6,1.3,2.106872081,5.389079744,4.864353215,2.4603744,2.158863055,103
713033,12:00:42,116.5995034,712984,713043,713045,713056,713073,713040,713048,713057,5.9,0.2,1.1,1.7,3.935769949,5.271252713,5.16917563,2.362621818,1.976348128,103
52481,17:39:45,66.8019139,52414,52485,52486,52498,52513,52482,52488,52495,7.1,0.1,1.2,1.3,2.353376582,5.599250661,5.554149859,2.525961758,2.195303708,103
99347,18:57:52,34.34564516,99298,99344,99351,99365,99411,99347,99354,99363,4.6,0.7,1.4,1.6,2.184226507,5.648131549,5.582467676,2.63385753,2.182500963,103
159273,20:37:45,49.69218268,159050,159254,159278,159295,159295,159269,159281,159288,20.4,2.4,1.7,1.9,1.954069191,5.492229735,5.462295835,2.206662461,2.206662461,103
613000,9:13:59,25.56745349,612946,612996,613000,613015,613053,612998,613009,613018,5,0.4,1.5,2,1.91430793,5.495077968,5.521403481,2.374660102,1.941761037,103
631608,9:44:59,89.77790674,631432,631610,631610,631624,631628,631608,631618,631624,17.8,0,1.4,1.6,1.916217291,5.518442359,5.518442359,2.328922606,2.200140493,103
418851,3:50:23,28.19886531,418812,418850,418856,418873,418883,418849,418861,418871,3.8,0.6,1.7,2.2,2.031552226,4.014998167,3.794565375,2.012837689,1.931429794,103
148534,20:19:51,27.0269101,148400,148540,148545,148556,148580,148541,148548,148555,14,0.5,1.1,1.4,2.541300473,5.729336167,5.709385765,2.562579993,2.175968249,103
