LungeI,timeoflunge,depth,PosFluSt,PosMaxSpd,PosBegDecel,PosEndDecel,PosMinSpd,PosDownStr,PosMaxGape,PosGyroFin,LengthAcc,LengthAdj,LengthDecel,LengthGyro,SpdFluSt,MaxSpd,SpdBegDecel,SpdEndDecel,MinSpd,lungecat
649528,10:04:54,119.0058616,649384,649526,649544,649572,649572,649530,649556,649566,14.2,1.8,2.8,3.6,1.362706117,4.677587669,4.638243156,1.65060431,1.65060431,103
246069,22:52:28,30.59114124,246010,246069,246069,246101,246104,246051,246078,246106,5.9,0,3.2,5.5,1.689663803,2.93375291,2.93375291,1.206745303,1.151003663,103
266619,23:26:43,42.94141565,266557,266619,266619,266648,266654,266617,266634,266653,6.2,0,2.9,3.6,1.396212342,3.719641208,3.719641208,1.230762263,1.165875583,103
338723,1:26:54,29.84442516,338602,338720,338720,338754,338758,338706,338727,338753,11.8,0,3.4,4.7,1.328750921,3.627040878,3.627040878,1.384558786,1.324408472,103
269659,23:31:47,41.21956935,269583,269658,269658,269688,269688,269657,269673,269702,7.5,0,3,4.5,1.442231661,3.517688035,3.517688035,1.195126395,1.195126395,103
335943,1:22:16,27.77646262,335846,335945,335945,335973,335974,335937,335954,335975,9.9,0,2.8,3.8,1.691946289,3.238415813,3.238415813,1.29522635,1.285264631,103
240218,22:42:43,39.61103253,240133,240216,240223,240249,240249,240215,240229,240256,8.3,0.7,2.6,4.1,1.46053562,2.846223651,2.71529447,1.213557624,1.213557624,103
339060,1:27:27,30.03192112,338953,339059,339070,339083,339093,339047,339064,339088,10.6,1.1,1.3,4.1,1.470891426,3.283633803,2.834533209,1.550261632,1.329870961,103
236628,22:36:44,27.46243599,236436,236626,236626,236655,236660,236615,236635,236654,19,0,2.9,3.9,1.420462838,3.470804989,3.470804989,1.264681999,1.213075462,103
344367,1:36:18,34.75951928,344230,344366,344375,344396,344422,344350,344372,344397,13.6,0.9,2.1,4.7,1.521956731,3.310557484,3.015386158,1.365739558,1.235549965,103
310597,0:40:01,27.34890021,310525,310599,310599,310632,310640,310585,310606,310632,7.4,0,3.3,4.7,1.453084453,3.528718965,3.528718965,1.218397409,1.199153052,103
269151,23:30:56,35.11891816,269113,269149,269169,269190,269197,269150,269166,269195,3.6,2,2.1,4.5,1.282473924,2.866871983,2.461619146,1.279507735,1.198954402,103
341579,1:31:39,30.60993916,341501,341582,341584,341607,341636,341561,341577,341611,8.1,0.2,2.3,5,1.341551112,3.331275591,3.282208634,1.2891556,1.154113624,103
337138,1:24:15,28.0168858,337063,337139,337139,337170,337170,337130,337148,337168,7.6,0,3.1,3.8,1.390865357,3.343647471,3.343647471,1.381744448,1.381744448,103
310970,0:40:38,27.72015209,310857,310971,310971,311003,311008,310958,310979,311006,11.4,0,3.2,4.8,1.496200366,3.614238491,3.614238491,1.24119835,1.17044982,103
259815,23:15:23,34.97351624,259780,259817,259817,259843,259846,259806,259823,259843,3.7,0,2.6,3.7,1.671613605,3.17262776,3.17262776,1.205181445,1.178448744,103
250997,23:00:41,27.5204494,250899,250997,250999,251023,251030,250980,250997,251024,9.8,0.2,2.4,4.4,1.539409279,2.907633313,2.862476628,1.317272914,1.243384283,103
313270,0:44:28,30.01222734,313171,313271,313279,313299,313302,313259,313280,313298,10,0.8,2,3.9,1.46975923,3.278385308,2.99862221,1.269968026,1.255115888,103
352752,1:50:16,34.72052791,352657,352752,352761,352781,352783,352738,352755,352785,9.5,0.9,2,4.7,1.21538023,3.334970887,3.028462074,1.246081588,1.218463679,103
358987,2:00:40,33.82238416,358871,358987,358998,359013,359023,358976,358996,359019,11.6,1.1,1.5,4.3,1.284185126,3.476605783,2.969626181,1.543613113,1.213448082,103
349119,1:44:13,37.22013272,348967,349117,349117,349139,349139,349095,349110,349142,15,0,2.2,4.7,1.496841679,3.084433166,3.084433166,1.330791142,1.330791142,103
280267,23:49:28,29.59399245,280174,280267,280267,280295,280319,280255,280276,280304,9.3,0,2.8,4.9,1.67803939,3.437766108,3.437766108,1.375235048,1.207301499,103
343600,1:35:01,28.71103239,343558,343599,343599,343626,343626,343589,343608,343626,4.1,0,2.7,3.7,1.340750079,3.797840959,3.797840959,1.45327454,1.45327454,103
215628,22:01:44,47.80919976,215505,215626,215636,215661,215661,215616,215636,215664,12.1,1,2.5,4.8,1.326769195,3.218959837,3.061813215,1.247022356,1.247022356,103
330210,1:12:42,32.16911449,330123,330210,330210,330243,330245,330200,330223,330243,8.7,0,3.3,4.3,1.402539382,3.557591922,3.557591922,1.237925137,1.230679516,103
260158,23:15:57,35.69768236,260029,260158,260158,260186,260210,260154,260172,260196,12.9,0,2.8,4.2,1.326394392,3.645080137,3.645080137,1.256124225,1.189589505,103
315164,0:47:38,37.78574021,315077,315163,315173,315192,315216,315150,315166,315191,8.6,1,1.9,4.1,1.235651577,2.980371545,2.851631496,1.403390401,1.25057261,103
358234,1:59:25,31.43587555,358187,358233,358233,358265,358265,358221,358239,358262,4.6,0,3.2,4.1,1.491932041,3.701979993,3.701979993,1.401191695,1.401191695,103
365031,2:10:44,26.41464217,364964,365032,365032,365059,365088,365021,365038,365068,6.8,0,2.7,4.7,1.324853747,3.8401321,3.8401321,1.658463918,1.232850447,103
238813,22:40:23,49.84855013,238743,238813,238813,238843,238844,238809,238827,238851,7,0,3,4.2,1.463405015,3.110292,3.110292,1.191258383,1.194860056,103
357237,1:57:45,27.36518393,357160,357237,357237,357266,357297,357227,357246,357268,7.7,0,2.9,4.1,1.277544795,3.899071299,3.899071299,1.335786707,1.180563436,103
340767,1:30:18,31.30712037,340713,340769,340770,340797,340798,340758,340776,340795,5.6,0.1,2.7,3.7,1.489625559,3.551685791,3.546743297,1.352418089,1.344343127,103
360916,2:03:53,26.18785473,360805,360919,360919,360945,360971,360907,360927,360951,11.4,0,2.6,4.4,1.497848706,4.068065685,4.068065685,1.330987634,1.183457473,103
325015,1:04:03,35.91995688,324904,325017,325017,325050,325050,325001,325021,325050,11.3,0,3.3,4.9,1.46855073,3.209859011,3.209859011,1.213416833,1.213416833,103
235937,22:35:35,44.17691867,235867,235938,235938,235967,235972,235937,235951,235976,7.1,0,2.9,3.9,1.298718878,4.021277776,4.021277776,1.217581287,1.210472677,103
231189,22:27:40,34.54692756,231095,231187,231187,231229,231241,231177,231200,231233,9.2,0,4.2,5.6,1.564525453,3.051672124,3.051672124,1.247802458,1.199803337,103
254128,23:05:54,31.48020364,254056,254123,254135,254158,254160,254111,254130,254160,6.7,1.2,2.3,4.9,1.488027947,2.811562879,2.734519462,1.290545546,1.262913401,103
316273,0:49:29,38.22523164,316175,316271,316271,316306,316306,316258,316276,316302,9.6,0,3.5,4.4,1.407842721,3.221035311,3.221035311,1.163848497,1.163848497,103
268715,23:30:13,39.46999834,268638,268716,268716,268746,268749,268686,268706,268750,7.8,0,3,6.4,1.498465067,2.969921911,2.969921911,1.210972247,1.201545607,103
246415,22:53:03,31.70115954,246322,246415,246415,246445,246446,246412,246430,246455,9.3,0,3,4.3,1.361921965,2.776309599,2.776309599,1.227321037,1.213239165,103
331493,1:14:51,27.88403476,331407,331491,331501,331526,331526,331476,331493,331529,8.4,1,2.5,5.3,1.572265288,3.577731535,3.450549587,1.271703038,1.271703038,103
258655,23:13:27,35.20647144,258592,258655,258655,258683,258683,258632,258663,258692,6.3,0,2.8,6,1.693732801,3.206155647,3.206155647,1.229510676,1.229510676,103
252131,23:02:34,31.84741216,252053,252128,252137,252162,252166,252113,252129,252163,7.5,0.9,2.5,5,1.610563997,3.403897453,3.283548263,1.322643513,1.330484249,103
352395,1:49:41,38.38038254,352262,352391,352403,352425,352425,352380,352398,352424,12.9,1.2,2.2,4.4,1.410076045,2.932581213,2.877239605,1.201630774,1.201630774,103
329071,1:10:48,31.23042913,328931,329070,329083,329105,329111,329060,329079,329111,13.9,1.3,2.2,5.1,1.488888893,3.031961297,2.795277977,1.250613567,1.218817673,103
318702,0:53:31,28.70027403,318545,318702,318702,318731,318763,318690,318711,318728,15.7,0,2.9,3.8,1.467363689,4.181433984,4.181433984,1.391498725,1.182892777,103
346399,1:39:41,33.71382231,346293,346404,346404,346428,346430,346381,346399,346429,11.1,0,2.4,4.8,1.418045015,3.085689816,3.085689816,1.299181275,1.287207036,103
